iter	RMSE
0	1536.850879
1	1242.979839
2	1044.848408
3	951.3271921
4	894.083252
5	859.0847833
6	827.3026822
7	799.4628893
8	756.1927229
9	741.5853611
10	731.1648726
11	698.1339506
12	692.4772928
13	683.3417204
14	671.5967504
15	667.4825386
16	648.2426713
17	638.4483466
18	631.0412949
19	628.5413803
20	620.9274204
21	618.2298231
22	612.9883086
23	605.0656506
24	600.193972
25	596.3012034
26	595.8056575
27	592.5290469
28	590.9827981
29	590.3728213
30	587.3090441
31	584.3771457
32	581.3135682
33	579.7408833
34	578.367122
35	575.8386721
36	570.4084963
37	568.6415556
38	566.1011377
39	563.4165538
40	561.4677805
41	561.3805577
42	561.3022685
43	561.180093
44	558.4813877
45	557.491866
46	557.4280047
47	554.290558
48	553.6994016
49	549.958453
50	548.3725288
51	546.4593169
52	543.9877638
53	541.896799
54	539.3613434
55	538.3560114
56	537.3731831
57	535.9885983
58	535.0338354
59	533.6462862
60	533.3486078
61	531.7421037
62	530.5199734
63	529.5631857
64	528.5637154
65	527.1854557
66	525.9821351
67	525.8674924
68	525.1919431
69	523.8140235
70	523.0592499
71	522.6817923
72	522.3856206
73	521.7828352
74	521.4063194
75	520.2557368
76	519.7724184
77	518.7803738
78	516.4900607
79	514.6550965
80	514.1903277
81	512.6373584
82	512.2240162
83	511.2565506
84	510.4318947
85	510.193181
86	509.5935217
87	508.2093154
88	507.2467367
89	506.5174661
90	506.0869854
91	505.4362958
92	505.1113594
93	504.1466826
94	502.7794519
95	501.5970218
96	500.7259076
97	500.0502818
98	499.6555592
99	499.2899596
