iter	Passed	Remaining
0	4	479
1	10	502
2	15	508
3	19	477
4	23	447
5	27	426
6	31	418
7	35	405
8	38	393
9	42	381
10	46	373
11	49	364
12	53	357
13	56	348
14	60	342
15	63	333
16	66	325
17	69	318
18	72	309
19	75	301
20	78	294
21	81	288
22	84	282
23	87	276
24	90	271
25	93	265
26	96	259
27	98	254
28	101	249
29	104	244
30	107	239
31	110	234
32	113	230
33	116	225
34	119	221
35	121	216
36	125	213
37	128	209
38	130	204
39	133	200
40	136	197
41	139	192
42	142	189
43	145	185
44	148	181
45	151	178
46	154	174
47	157	171
48	161	167
49	163	163
50	166	160
51	169	156
52	173	153
53	176	150
54	180	147
55	183	144
56	186	140
57	189	137
58	191	133
59	195	130
60	198	126
61	201	123
62	205	120
63	208	117
64	211	114
65	214	110
66	217	107
67	220	103
68	223	100
69	226	97
70	229	93
71	232	90
72	234	86
73	237	83
74	241	80
75	244	77
76	247	73
77	250	70
78	253	67
79	256	64
80	259	60
81	262	57
82	265	54
83	268	51
84	271	47
85	274	44
86	277	41
87	280	38
88	283	34
89	285	31
90	288	28
91	291	25
92	294	22
93	297	19
94	300	15
95	303	12
96	306	9
97	309	6
98	312	3
99	315	0
